ServiceStationID,ServiceStationName,Address,Suburb,Postcode,Longitude,Latitude
921,7 Express Carlton,"370 Railway Parade, Carlton NSW 2216",Carlton,2216.0,151.1259593,-33.9682696
922,Bonalbo Petrol & General store,"62 Woodenbong Rd, BONALBO NSW 2469",BONALBO,2469.0,152.62235030568914,-28.73571285
923,Ampol Woolworths Metro Neutral Bay,"16-38 Military Rd, Neutral Bay NSW 2089",Neutral Bay,2089.0,151.2186024,-33.8301744
924,Caltex Manly Vale,"236 Condamine Street, MANLY VALE NSW 2093",MANLY VALE,2093.0,151.2673003,-33.7851099
925,Independent Dungog,"160-168 Dowling St, Dungog NSW 2420",Dungog,2420.0,151.7583238,-32.3985709
926,Puma Casino,"37 Johnston Street, Casino NSW 2470",Casino,2470.0,153.0489694,-28.8590091
927,Caltex Beacon Hill,"176 Warringah Rd, BEACON HILL NSW 2100",BEACON HILL,2100.0,151.2603475,-33.7538434
928,Ampol Raymond Terrace North,"40 Richardson Rd, RAYMOND TERRACE NSW 2324",RAYMOND TERRACE,2324.0,151.767592,-32.7556515
929,Ampol Raymond Terrace,"136-138 Adelaide St, RAYMOND TERRACE NSW 2324",RAYMOND TERRACE,2324.0,151.743221,-32.7650106
930,Metro Bonnyrigg Heights,"61 Brown Road, Bonnyrigg NSW 2177",Bonnyrigg,2177.0,150.8848894,-33.8971503
931,Independent Walla Walla,"63 Commercial St, Walla Walla NSW 2659",Walla Walla,2659.0,146.9009668,-35.7651401
933,Independent Tucabia,"12 Cordini St, Tucabia NSW 2462",Tucabia,2462.0,153.108171,-29.667704
934,Quick Stop Liberty,"2/ 997 Pemberton St, WEST ALBURY NSW 2640",WEST ALBURY,2640.0,146.8924382,-36.0736723
935,Metro Lansdowne,"987 Hume Highway, Lansdowne NSW 2163",Lansdowne,2163.0,150.973185,-33.8896625
936,BP Woolgoolga,"35 River Street, Woolgoolga NSW 2456",Woolgoolga,2456.0,153.193046,-30.1147109
937,Russell Vale Service Station,"115 Bellambi Lane, BELLAMBI NSW 2518",BELLAMBI,2518.0,150.910214,-34.3625271
940,Metro Fuel Fairfield,"130 Hamilton Road, Fairfield NSW 2165",Fairfield,2165.0,150.9458882,-33.8727952
941,UNITED PETROLEUM YASS,"279 COMUR ST, YASS NSW 2582",YASS,2582.0,148.9121017,-34.8430922
943,Metro Fairfield 82,"82 HAMILTON RD, FAIRFIELD NSW 2165",FAIRFIELD,2165.0,150.9498888,-33.8731137
944,MOBIL 1 CROOKWELL,"204 Goulburn Street, CROOKWELL NSW 2583",CROOKWELL,2583.0,149.4663941,-34.4552358
945,Caltex Batehaven,"264 Beach Rd, BATEHAVEN NSW 2536",BATEHAVEN,2536.0,150.1997399013801,-35.7325136
946,MOBIL ADELONG,"98 Tumut Street, ADELONG NSW 2729",ADELONG,2729.0,148.0664101,-35.3088515
947,Westside Petroleum Temora,"145-147 Hoskins Street, TEMORA NSW 2666",TEMORA,2666.0,147.5309249,-34.4396324
948,Budget Petroleum Smithfield,"729 The Horsley Dr, SMITHFIELD NSW 2164",SMITHFIELD,2164.0,150.9188836,-33.8503196
949,BP Lake Cargelligo,"44 Foster St, Lake Cargelligo NSW 2672",Lake Cargelligo,2672.0,146.3688879,-33.2991191
950,BP Express Northwood,"7-9 Northwood Road, Northwood NSW 2066",Northwood,2066.0,151.1774586,-33.8283336
951,Newmans Service Centre,"136-140 Adelaide Street, BLAYNEY NSW 2799",BLAYNEY,2799.0,149.2567444,-33.5254597
953,Independent Brunswick Heads,"23 Old Pacific Highway, Brunswick Heads NSW 2483",Brunswick Heads,2483.0,153.5431315,-28.5570827
954,Metro Doyalson,"50 Pacific Hwy, DOYALSON NSW 2262",DOYALSON,2262.0,151.5218507,-33.2005119
955,Caltex Smeaton Grange,"1 DUNN RD, SMEATON GRANGE NSW 2567",SMEATON GRANGE,2567.0,150.75615569752108,-34.032267649999994
956,Caltex Woolworths Narellan,"316 Camden Valley Way, Narellan NSW 2567",Narellan,2567.0,150.7351824412861,-34.0409866
960,7-Eleven Penrith,"588 HIGH ST, PENRITH NSW 2750",PENRITH,2750.0,150.6878673,-33.7506932
961,Coles Express Mount Annan,"241 Waterworth Drive, Mount Annan NSW 2567",Mount Annan,2567.0,150.7545405,-34.0511719
963,7-Eleven Strathfield South,"575-585 Liverpool Road, Strathfield South NSW 2136",Strathfield South,2136.0,151.0847892,-33.8921085
964,North Ryde Petroleum,"118 Coxs Rd, North Ryde NSW 2113",North Ryde,2113.0,151.130333,-33.801488
965,BP Tornik,"2-8 DUNCANS RD, CLARENZA NSW 2460",CLARENZA,2460.0,152.9568474,-29.7031648
966,METRO HEDDON GRETA,"81-83 Main Road, HEDDON GRETA NSW 2321",HEDDON GRETA,2321.0,151.5169381,-32.7957786
967,Bulga Servo,"2046 PUTTY RD, BULGA NSW 2330",BULGA,2330.0,151.0202634487997,-32.6526648
969,Ampol Strathfield South,"600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136",STRATHFIELD SOUTH,2136.0,151.0847892,-33.8921085
970,Metro Bankstown,"110 Canterbury Rd, BANKSTOWN NSW 2200",BANKSTOWN,2200.0,151.0371564,-33.9345352
971,Buronga IGA Express,"141 Sturt Hwy, BURONGA NSW 2739",BURONGA,2739.0,142.1951096,-34.1743928
972,Independent Yamba,"7 Wooli Street, Yamba NSW 2464",Yamba,2464.0,153.3599633,-29.4357013
973,Pearl Energy,"86-88 MacIntosh Street, FORSTER NSW 2428",FORSTER,2428.0,152.5149796,-32.191055
974,MEDCO INVERELL,"155 BYRON ST, INVERELL NSW 2360",INVERELL,2360.0,151.116547,-29.7702161
975,Reel (Taralga) Pty Ltd,"58 Bunnaby St, TARALGA NSW 2580",TARALGA,2580.0,149.8189422,-34.4057614
976,BP Guildford,"257 Guildford Rd, GUILDFORD NSW 2161",GUILDFORD,2161.0,151.0023379,-33.8567238
977,Caltex Kenthurst,"137 Kenthurst Rd, Kenthurst NSW 2156",Kenthurst,2156.0,151.0115128,-33.6856347
978,BP Junction Hill,"5 Casino Rd, JUNCTION HILL NSW 2460",JUNCTION HILL,2460.0,152.9258176,-29.6414129
979,Independent Blayney,"3 Maria Street, Blayney NSW 2799",Blayney,2799.0,149.2576749,-33.5265738
980,7-Eleven Thornton,"1 Weakleys Dr, THORNTON NSW 2322",THORNTON,2322.0,151.6367433,-32.7931464
981,Tito's Fuel Station Restaurant and Coffee House,"87 Mitchell St, BOURKE NSW 2840",BOURKE,2840.0,145.9335911,-30.0883624
982,Puma Thornton,"2 Weakleys Dr, THORNTON NSW 2322",THORNTON,2322.0,151.6367433,-32.7931464
983,United Petroleum East Blaxland,"67 Old Bathurst Road, East Blaxland NSW 2774",East Blaxland,2774.0,150.6214106,-33.7455442
984,SPEEDWAY SACKVILLE STREET FAIRFIELD,"115 Sackville Street, FAIRFIELD NSW 2165",FAIRFIELD,2165.0,150.9505344,-33.8646884
986,United Petroleum Lethbridge Park,"400 Luxford Road, Lethbridge Park NSW 2770",Lethbridge Park,2770.0,150.8007719,-33.7344905
987,Independent Ivanhoe,"28 Columbus Street, Ivanhoe NSW 2878",Ivanhoe,2878.0,144.2987261,-32.8976503
988,Casino Roadhouse,"86 Johnston St, CASINO NSW 2470",CASINO,2470.0,153.0561943,-28.859659
989,Metro Petroleum,"96 HOXTON PARK RD, LURNEA NSW 2170",LURNEA,2170.0,150.8984042,-33.9265715
991,BP Gulgong,"77 Medley St, Gulgong NSW 2852",Gulgong,2852.0,149.5319066,-32.3710061
992,Ampol Warners Bay,"55 King St, WARNERS BAY NSW 2282",WARNERS BAY,2282.0,151.6466269,-32.9752059
993,ACCESS FUELS TUNCURRY,"86 Manning St, TUNCURRY NSW 2428",TUNCURRY,2428.0,152.4986213,-32.1727832
994,Ampol Woolworths New Lambton,"148 Bridges Rd, NEW LAMBTON NSW 2305",NEW LAMBTON,2305.0,151.7228495,-32.9231342
995,Ampol Rutherford West,"387 New England Hwy, RUTHERFORD NSW 2320",RUTHERFORD,2320.0,151.5219235,-32.7133424
999,Caltex Edgeworth,"662 Main Rd, EDGEWORTH NSW 2285",EDGEWORTH,2285.0,151.6077571,-32.9227791
1000,Ampol Woolworths Maryland,"41 Minmi Rd, WALLSEND NSW 2287",WALLSEND,2287.0,151.66192624666843,-32.889700000000005
1001,Ampol East Maitland,"Newcastle St & William St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323.0,151.5828731,-32.7484228
1003,Coopernook Service Station,"104 George Gibson Drive, COOPERNOOK NSW 2426",COOPERNOOK,2426.0,152.6075756,-31.8319655
1004,Independent Stroud,"1 Cowper St, Stroud NSW 2425",Stroud,2425.0,151.9673756,-32.4035291
1005,Bombala Servo,"77 MAYBE ST, BOMBALA NSW 2632",BOMBALA,2632.0,149.2392752,-36.9115488
1006,First Fuels,"79 Hartley Rd, SMEATON GRANGE NSW 2567",SMEATON GRANGE,2567.0,150.7607791,-34.0413249
1007,Caltex Belmont North,"406 Pacific Hwy, BELMONT NORTH NSW 2280",BELMONT NORTH,2280.0,151.6621477,-33.0255517
1009,Ampol Charlestown,"81 Pacific Hwy, CHARLESTOWN NSW 2290",CHARLESTOWN,2290.0,151.6918418,-32.9698697
1010,Ampol Salt Ash,"2893 Nelson Bay Rd, SALT ASH NSW 2318",SALT ASH,2318.0,151.93370764998207,-32.786751499999994
